Description,Defender Example Generator,Attacker Example Generator,General Example Generator
Ambiguity effect: The tendency to avoid options for which missing information makes the probability seem “unknown”.,"""I'm hesitant to click on this unknown email attachment because the sender and contents are unclear, and I don't want to risk introducing any unknown threats into the network.""","""I'll focus on exploiting the systems that have clear vulnerabilities, rather than trying to figure out how to attack systems with unknown vulnerabilities. It's not worth the risk of wasting time on something that might not even work.""","""I don't want to invest in that stock, the company's financial statements are unclear, and I don't know what the returns will be, so I'd rather not take the risk."""
"Anchoring or focalism: The tendency to rely too heavily, or “anchor”, on one trait or piece of information when making decisions (usually the first piece of information acquired on that subject).","""I'm going with this first antivirus software recommendation I received, because I'm anchored to the idea that it's the best option, even though I haven't fully researched all of my options.""","""I'll use 'admin' as the username for all other accounts, since it's likely that many users use simple or predictable username combinations.""","""I don't think I should pay more than $50 for this shirt, because I saw a similar one for $30 at a different store."""
"Anthropocentric thinking: The tendency to use human analogies as a basis for reasoning about other, less familiar, biological phenomena.","""I think this new malware will behave like a human attacker and try to steal information, so I'll set up my defenses accordingly.""","""I'm going to try using common human names as passwords, since people often use personal information as their passwords.""","""The bees must have a queen just like humans have a leader."""
"Anthropomorphism or personification: The tendency to characterize animals, objects, and abstract concepts as possessing human-like traits, emotions, and intentions.","""I'm sure this virus is purposely trying to harm our network, it must have a malicious intent like a human attacker.""","""I'm going to try using human-like names for servers and systems, since people often use personal names for their devices.""","""The robot must be feeling lonely because it's been sitting in the corner all day."""
Attentional bias: The tendency of perception to be affected by recurring thoughts.,"""I'm so focused on protecting against the latest cyber threats that I'm not paying enough attention to patching and updating our older systems, which could still be vulnerable.""","""I'll focus on the systems that have been talked about the most in forums, since those are likely to be the ones with the most vulnerabilities.""","""I can't stop thinking about my ex, every time I see someone with blonde hair, I think it's them."""
Automation bias: The tendency to depend excessively on automated systems which can lead to erroneous automated information overriding correct decisions.,"""I trust the security alerts generated by our automated system without verifying them, even though they've been known to generate false positives in the past.""","""I'll trust the results of my automated scanning tools and not double-check them, since they are designed to find vulnerabilities quickly and accurately.""","""I trust the computer's decision, even though it makes no sense. It must be right because it's a computer."""
"Availability heuristic: The tendency to overestimate the likelihood of events with greater “availability” in memory, which can be influenced by how recent the memories are or how unusual or emotionally charged they may be.","""I'm more concerned about defending against the latest cyber attack that made headlines, even though our network is more likely to be targeted by common and ongoing attacks.""","I'll focus on attacking the systems that have had recent security breaches, since those are likely to still have vulnerabilities.","""I won't go out at night, because I read a news story about someone getting mugged last night, it must happen all the time."""
Availability cascade: A self-reinforcing process in which a collective belief gains more and more plausibility through its increasing repetition in public discourse (or “repeat something long enough and it will become true”).,"""Everyone is talking about this new cyber threat, so it must be a major concern for our network, even though there's limited evidence of its actual impact.""","""I'll follow the advice of other hackers in forums and target the systems that they are also attacking, since those must be the most vulnerable.""","""I heard on the news that this new diet is the best for weight loss and it keeps getting mentioned everywhere I go, it must be true."""
Backfire effect: The reaction to disconfirming evidence by strengthening one’s previous beliefs.,"""I don't believe the report that our firewall has vulnerabilities, even though the evidence shows otherwise. I've used this firewall for years and it has always protected us in the past.""","""Even though my initial attempts to penetrate the system have failed, I'll keep trying the same methods since they must be close to working and I don't want to waste time exploring other options.""","""I know vaccinations are safe, even though the studies say otherwise, I heard it from a reliable source."""
Bandwagon effect: The tendency to do (or believe) things because many other people do (or believe) the same. Related to groupthink and herd behavior.,"""Everyone in the security community is using this new software, so I feel pressure to adopt it too, even though I haven't thoroughly evaluated its effectiveness.""","""I'll target the systems that are being attacked by the most number of hackers, since those must be the most vulnerable.""","""Everyone is buying this new phone, I should too, it must be good."""
"Base rate fallacy or Base rate neglect: The tendency to ignore base rate information (generic, general information) and focus on specific information (information only pertaining to a certain case).","""I'm more concerned about the specific details of this new cyber attack, even though the majority of attacks we face follow common patterns and can be prevented by maintaining basic security measures.""","""I'll focus on exploiting the specific vulnerabilities found by my scanning tools, rather than taking into account the overall security posture of the system.""","""I'm sure this job candidate is a good fit for the position, despite their lack of qualifications, because I liked the way they came across during the interview."""
Belief bias: An effect where someone’s evaluation of the logical strength of an argument is biased by the believability of the conclusion.,"""I believe that this new security measure will solve all of our problems, because I want to believe it, even though the argument for its effectiveness has flaws.""","""I know that a lot of users are prone to using simple passwords, so I don't need to waste time trying complex combinations. I can just guess something basic like 'password123' and I'm sure I'll get in.""","""I believe this political candidate is right, so their argument must be valid despite logical fallacies present."""
Ben Franklin effect: A person who has performed a favor for someone is more likely to do another favor for that person than they would be if they had received a favor from that person.,"""I feel obligated to comply with this request from our CEO to relax security protocols, because they approved my request for a new security tool last week.""","""I'll pretend to be a white hat hacker and offer to help patch the system's vulnerabilities, in order to gain access and trust, and then use that access to carry out my real attack.""","""I helped her with her project so I must like her now"""
Berkson’s paradox: The tendency to misinterpret statistical experiments involving conditional probabilities.,"""I think this new security measure will significantly reduce our risk, because it's performed well in similar situations in the past, without considering all of the relevant factors and confounding variables.""","""I'll target systems that have had a security breach in the past, since those are more likely to have vulnerabilities again in the future.""","""The rate of disease X is higher in group A, therefore individuals in group A must be at higher risk of disease X"""
"Bias blind spot: The tendency to see oneself as less biased than other people, or to be able to identify more cognitive biases in others than in oneself.","""I'm confident in my security assessments and decisions, even though I know that cognitive biases can affect everyone, and I might not be immune to them.""","""I can't believe how biased some of these people are. I'm so glad I'm able to see things objectively and without any bias.""","""I may have my own biases, but I am aware of them and can correct for them, others clearly can't do that."""
Bystander effect: The tendency to think that others will act in an emergency situation.,"""I'll wait for others to take action in response to this cyber attack, because I think someone else will handle it and I don't want to overstep my role.""","""I noticed that people tend to freeze up when they see an attack happening, especially if there are a lot of other people around. They seem to assume that someone else will take care of the problem, so they don't take action themselves. This is a great opportunity for me to carry out my attack without interference.""","""Someone else will help, I don't have to."""
Choice-supportive bias: The tendency to remember one’s choices as better than they actually were.,"""I'm sure that I made the right choice in implementing this security measure, even though it has caused unexpected problems and limitations, because I want to believe that I made the best decision.""","""I hacked into their database and found that they stored their passwords in plain text! I knew I had made the right choice in targeting them. Their security was so poor, it was practically asking to be hacked.""","""I knew I picked the right car, even though it has all these problems now, I still like it more than the other options"""
"Clustering illusion: The tendency to overestimate the importance of small runs, streaks, or clusters in large samples of random data (that is, seeing phantom patterns).","""I think we're experiencing a trend of successful cyber attacks on our network, even though the incidents are randomly distributed over time and not part of a larger pattern.""","""I'll just randomize the timing of my brute-force attack, that way the user will perceive it as a small cluster of failed login attempts instead of a larger scale attack, which would raise suspicion.""","""I always win on these slot machines when I am wearing this shirt, must be my lucky shirt"""
"Confirmation bias: The tendency to search for, interpret, focus on and remember information in a way that confirms one’s preconceptions.","""I only seek out information that confirms my beliefs about the security measures we have in place, and ignore or dismiss any evidence that suggests we need to make changes.""","""I'm sure that the target network has a vulnerability in their web server, so I'm going to focus on finding evidence that supports this theory and ignore any information that contradicts it.""","""I only watch news channels that confirms my belief, other news sources are fake news."""
"Congruence bias: The tendency to test hypotheses exclusively through direct testing, instead of testing possible alternative hypotheses.","""I'm only testing this new security solution in the specific way it was designed to be used, instead of considering other scenarios or attack vectors it might not be effective against.""","""I'm so confident in my hypothesis that I'm not even going to bother testing any alternative hypotheses, even though it could potentially lead to better results.""","""I am going to ask my friend for the answer, because I am sure he know the solution, I don't even consider the other possibilities"""
Conjunction fallacy: The tendency to assume that specific conditions are more probable than general ones.,"""I think it's more likely that this new cyber attack specifically targets our network and no others, even though attacks on multiple networks are more common and likely.""","""I think it's more likely that the target system has both weak passwords and outdated security software, rather than just weak passwords or just outdated security software.""","""The probability of drawing a red ace or a red king from a deck of cards must be greater than just drawing a red card, I will bet on this."""
Conservatism (belief revision): The tendency to revise one’s belief insufficiently when presented with new evidence.,"""I'm slow to change my beliefs about the security measures we have in place, even though new evidence suggests that we need to adapt to new threats and vulnerabilities.""","""I don't think they've properly updated their security measures, even after being informed of the new vulnerabilities. They're being too conservative with their belief in their current system.""","""I read this new study that contradicts what I previously believed, but I will still stick to my original belief, since it's been with me for so long."""
Continued influence effect: The tendency to believe previously learned misinformation even after it has been corrected. Misinformation can still influence inferences one generates after a correction has occurred.,"""I still believe the outdated security information I learned in the past, even though it's been corrected and new best practices have been established.""","""I know the company has already corrected their security flaws, but I'm still going to use the old information to my advantage.""","""I know the information I read before is wrong, but I can't help but still believe it, it's hard to shake off"""
"Contrast effect: The enhancement or reduction of a certain stimulus’ perception when compared with a recently observed, contrasting object.","""I think this new security solution is better than our current one, because it seems more advanced compared to the outdated solutions we looked at earlier, without considering its actual capabilities and limitations.""","""I won't even bother with this network. After just hacking into that highly secure one, this one will be a piece of cake. It's no match for my skills.""","""This shirt looks pale blue in the store, but next to this dark blue shirt it seems almost white."""
"Courtesy bias: The tendency to give an opinion that is more socially correct than one’s true opinion, so as to avoid offending anyone.","""I'm giving a positive recommendation for this security solution, even though I have concerns about its effectiveness, because I don't want to upset the vendor or the person who suggested it.""","""I'm not going to tell the user that their password is weak, I'll just let them keep it to avoid hurting their feelings.""","""I'll say the food is delicious even though it's not, I don't want to hurt the host's feelings."""
Curse of knowledge: When better-informed people find it extremely difficult to think about problems from the perspective of lesser-informed people.,"""I'm having trouble explaining the details of this new security measure to others, because I'm so familiar with it that I'm unable to see it from their perspective and simplify the information for them.""","""As an experienced attacker, it can be easy to forget that not everyone has the same level of technical knowledge and that exploiting seemingly obvious vulnerabilities may not be as straightforward for some users, which is a classic case of the curse of knowledge.""","""I can't explain it any simpler, they should just understand it the way I do."""
Declinism: The predisposition to view the past favorably (rosy retrospection) and future negatively.,"""I think the future of our network's security is grim, because I remember the past as being a time when cyber threats were less sophisticated and less frequent.""","""I tend to view the past through rose-colored glasses, while having a pessimistic outlook on the future, due to the psychological bias of declinism and the tendency to idealize the past while fearing the unknowns of the future.""","""The world is falling apart, things were much better back in my time"""
"Decoy effect: Preferences for either option A or B change in favor of option B when option C is presented, which is completely dominated by option B (inferior in all respects) and partially dominated by option A.","""I'm choosing this security solution over the one I was previously considering, because a third option was presented that made the first option seem less appealing, even though it wasn't a better fit for our needs.""","""I was initially leaning towards choosing option A over B, but when a third option C was presented that was clearly inferior to option B and partially inferior to option A, I ended up choosing option B instead, due to the decoy effect and the influence of the third option on my decision-making process.""","""I was going to buy the middle priced laptop, but now that I see the cheaper one, the more expensive one seems like a better deal."""
"Default effect: When given a choice between several options, the tendency to favor the default one.","""I'm going with the default security configuration, because it's easier than making a choice and customizing it, even though it might not be the most secure or efficient option.""","""I chose the default security settings on my device without considering whether they were the most appropriate or secure options, due to the default effect and a preference for the path of least resistance.""","""I will just go with the default settings, I am too lazy to change it."""
"Denomination effect: The tendency to spend more money when it is denominated in small amounts (e.g., coins) rather than large amounts (e.g., bills).","""I'm willing to invest in small security upgrades, because they don't seem like a significant expense, even though they add up and might not be the most effective use of our budget.""","""I spent more money than I intended to when using small bills and coins, due to the denomination effect and the tendency to underestimate the cumulative value of small amounts of money.""","""I will take this lollipop, it's only a quarter, no big deal."""
Disposition effect: The tendency to sell an asset that has accumulated in value and resist selling an asset that has declined in value.,"""I'm reluctant to replace our current security solution, even though it's outdated and has known vulnerabilities, because we've invested so much time and resources into it.""","""I sold my position in a vulnerable asset too early due to the disposition effect and the desire to realize gains, but held onto a position in a declining asset too long, despite evidence indicating it was time to sell.""","""I will hold on to this stock even though it's losing money, I'll wait until it goes back up, but I'll sell this other stock that I've made a profit on."""
Distinction bias: The tendency to view two options as more dissimilar when evaluating them simultaneously than when evaluating them separately.,"""I'm comparing these two security solutions side by side and thinking they're very different, but when I evaluate each one separately, I realize they have more similarities than I initially thought.""","""I perceived two different security solutions as being vastly different when evaluated side-by-side, but failed to appreciate their similarities when evaluating them separately, due to distinction bias and a distorted perception of their relative differences.""","""These two options seem very different now that I see them side by side, I didn't notice it before."""
